;mae;mse;rmse;mape;n
SANSED06#D01Sd02;142.996597195648;37876.6541276093;194.61925425715;0.123362549169275;5
SANSED06#D01Sd03;382.917800131778;146845.090828538;383.203719747784;0.474357944702788;5
SANSED06#D02Sd01;193.026665833954;37518.4491777036;193.696797024896;0.260844440524322;5
SANSED06#D02Sd02;397.721180983476;158738.913675352;398.420523662313;0.350976949480332;5
SANSED06#D02Sd03;77.8007659335671;7309.61944744138;85.4963124786173;0.0999747687801809;5
SANSED06#D03Sd01;263.011890991293;69251.2720510347;263.156364260937;0.609707957837403;5
SANSED06#D03Sd02;340.691930055582;117227.15862991;342.384518677334;0.401047386338257;5
SANSED06#D03Sd03;70.9086186527546;5996.86559307497;77.4394317713848;0.124311381390538;5
SANSED06#D04Sd01;486.006275865868;236620.097802008;486.436118932392;2.32749046665567;5
SANSED06#D04Sd02;479.81716770385;234525.269390857;484.278090967222;0.559785386643013;5
SANSED06#D04Sd03;224.789727387611;60320.7220791212;245.602772946726;0.349187972796294;5
